date,value_eur
2024-11-19,358.74 
2024-11-20,358.74 
2024-11-21,358.74 
2024-11-22,359.50 
2024-11-23,363.07 
2024-11-24,361.93 
2024-11-25,361.07 
2024-11-26,360.07 
2024-11-27,359.07 
2024-11-28,358.72 
2024-11-29,347.33 
2024-11-30,349.62 
2024-12-01,356.82 
2024-12-02,355.17 
2024-12-03,354.29 
2024-12-04,353.29 
2024-12-05,354.00 
2024-12-06,356.87 
2024-12-07,359.87 
2024-12-08,361.76 
2024-12-09,362.89 
2024-12-10,364.89 
2024-12-11,364.60 
2024-12-12,364.60 
2024-12-13,364.70 
2024-12-14,364.90 
2024-12-15,365.14 
2024-12-16,368.76 
2024-12-17,367.76 
2024-12-18,368.96 
2024-12-19,370.87 
2024-12-20,370.00 
2024-12-21,369.34 
2024-12-22,370.24 
2024-12-23,375.24 
2024-12-24,380.24 
2024-12-25,390.24 
2024-12-26,395.22 
2024-12-27,397.22 
2024-12-28,400.75 
2024-12-29,404.04 
2024-12-30,406.48 
2024-12-31,412.06 
2025-01-01,418.61 
2025-01-02,425.68 
2025-01-03,428.68 
2025-01-04,429.53 
2025-01-05,435.58 
2025-01-06,443.22 
2025-01-07,450.22 
2025-01-08,456.00 
2025-01-09,456.06 
2025-01-10,444.35 
2025-01-11,445.81 
2025-01-12,446.43 
2025-01-13,448.74 
2025-01-14,446.06 
2025-01-15,433.63 
2025-01-16,431.28 
2025-01-17,430.57 
2025-01-18,433.68 
2025-01-19,433.07 
2025-01-20,433.58 
2025-01-21,437.45 
2025-01-22,437.08 
2025-01-23,436.80 
2025-01-24,437.67 
2025-01-25,441.42 
2025-01-26,445.50 
2025-01-27,440.73 
2025-01-28,448.44 
2025-01-29,452.21 
2025-01-30,450.11 
2025-01-31,450.57 
2025-02-01,459.27 
2025-02-02,462.23 
2025-02-03,471.41 
2025-02-04,470.58 
2025-02-05,465.16 
2025-02-06,473.29 
2025-02-07,476.84 
2025-02-08,477.89 
2025-02-09,484.81 
2025-02-10,481.23 
2025-02-11,478.03 
2025-02-12,478.58 
2025-02-13,478.87 
2025-02-14,476.75 
2025-02-15,482.99 
2025-02-16,491.57 
2025-02-17,501.79 
2025-02-18,507.24 
2025-02-19,507.13 
2025-02-20,518.68 
2025-02-21,527.34 
2025-02-22,535.95 
2025-02-23,547.73 
2025-02-24,548.12 
2025-02-25,533.96 
2025-02-26,532.44 
2025-02-27,528.91 
2025-02-28,524.35 
2025-03-01,530.67 
2025-03-02,534.05 
2025-03-03,535.01 
2025-03-04,533.10 
2025-03-05,520.54 
2025-03-06,514.57 
2025-03-07,516.96 
2025-03-08,521.02 
2025-03-09,519.96 
2025-03-10,514.56 
2025-03-11,510.05 
2025-03-12,503.00 
2025-03-13,503.00 
2025-03-14,499.25 
2025-03-15,497.55 
2025-03-16,485.21 
2025-03-17,484.23 
2025-03-18,481.70 
2025-03-19,483.61 
2025-03-20,481.57 
2025-03-21,477.46 
2025-03-22,479.14 
2025-03-23,484.71 
2025-03-24,480.93 
2025-03-25,485.42 
2025-03-26,490.22 
2025-03-27,490.07 
2025-03-28,492.85 
2025-03-29,496.31 
2025-03-30,497.40 
2025-03-31,503.05 
2025-04-01,498.32 
2025-04-02,486.91 
2025-04-03,483.32 
2025-04-04,481.72 
2025-04-05,489.62 
2025-04-06,498.04 
2025-04-07,494.62 
2025-04-08,493.75 
2025-04-09,483.17 
2025-04-10,473.95 
2025-04-11,470.41 
2025-04-12,459.99 
2025-04-13,464.12 
2025-04-14,468.55 
2025-04-15,467.71 
2025-04-16,470.33 
2025-04-17,471.56 
2025-04-18,468.82 
2025-04-19,471.61 
2025-04-20,469.37 
2025-04-21,468.31 
2025-04-22,463.65 
2025-04-23,458.60 
2025-04-24,459.60 
2025-04-25,460.90 
2025-04-26,472.84 
2025-04-27,485.25 
2025-04-28,497.59 
2025-04-29,505.17 
2025-04-30,505.17 
2025-05-01,557.40 
2025-05-02,568.35 
2025-05-03,594.31 
2025-05-04,619.72 
2025-05-05,714.26 
2025-05-06,666.14 
2025-05-07,704.76 
2025-05-08,642.14 
2025-05-09,594.92 
2025-05-10,584.92 
2025-05-11,574.92 
2025-05-12,564.92 
2025-05-13,554.58 
2025-05-14,542.15 
2025-05-15,538.50 
2025-05-16,540.59 
2025-05-17,558.96 
2025-05-18,570.95 
2025-05-19,566.71 
2025-05-20,578.13 
2025-05-21,581.34 
2025-05-22,579.68 
2025-05-23,578.28 
2025-05-24,578.84 
2025-05-25,579.39 
2025-05-26,573.33 
2025-05-27,579.92 
2025-05-28,581.26 
2025-05-29,581.14 
2025-05-30,678.76 
2025-05-31,657.88 
2025-06-01,662.22 
2025-06-02,658.34 
2025-06-03,672.36 
2025-06-04,673.04 
2025-06-05,654.33 
2025-06-06,656.94 
2025-06-07,655.66 
2025-06-08,654.10 
2025-06-09,652.45 
2025-06-10,654.78 
2025-06-11,657.23 
2025-06-12,657.23 
2025-06-13,646.54 
2025-06-14,656.15 
2025-06-15,650.48 
2025-06-16,649.16 
2025-06-17,638.17 
2025-06-18,638.70 
2025-06-19,638.74 
2025-06-20,647.51 
2025-06-21,645.75 
2025-06-22,647.01 
2025-06-23,643.32 
